00_JP1TEST;/GFOOT/;net;正常終了-R;2025/02/21 15:45;***;2025/02/21 15:45:29;2025/04/15 17:42:35;2025/04/15 17:42:35;***;***;20250221001;***;なし;@1R7276;2025/02/21;2025/02/21 15:45:29;"";****/**/** **:**;****/**/** **:**
JOB;/GFOOT/00_JP1TEST/;pjob;正常終了-R;****/**/** **:**;0;2025/04/15 17:42:35;****/**/** **:**:**;2025/04/15 17:42:35;edimaster01;205705;20250221001;C:\ProgramData\Hitachi\jp1\jp1_default\JP1AJS2\jobinf\15469\6ac1c\0.1546a.err;なし;@1R7276;****/**/**;2025/04/15 17:42:35;"";****/**/** **:**;****/**/** **:**
メンテナンスBackUpファイル退避;/GFOOT/10_日次/01_HULFT/;net;実行中;2023/04/18 18:21;***;2026/06/26 12:00:00;****/**/** **:**:**;****/**/** **:**:**;***;***;20260626001;***;なし;@2W9073;2026/06/26;2026/06/26 12:00:00;"手動";****/**/** **:**;****/**/** **:**
バックアップ退避;/GFOOT/10_日次/01_HULFT/メンテナンスBackUpファイル退避/;pjob;実行中;****/**/** **:**;***;2026/06/26 12:00:00;****/**/** **:**:**;****/**/** **:**:**;TYCLDS31;225190;20260626001;C:\ProgramData\Hitachi\jp1\jp1_default\JP1AJS2\jobinf\142a6\b6e11\0.142a7.err;なし;@2W9073;****/**/**;2026/06/26 12:00:00;"";****/**/** **:**;****/**/** **:**
集信_00_AEONデータ処理結果確認;/GFOOT/10_日次/01_HULFT/;net;実行中;2025/08/22 09:12;***;2026/06/26 12:00:00;****/**/** **:**:**;****/**/** **:**:**;***;***;20260626004;***;なし;@2W9741;2026/06/26;2026/06/26 12:00:00;"毎時_09:00~20:00 ANKYAKUTIME.dat EAS2E00A　未処理ファイルのチェック";****/**/** **:**;****/**/** **:**
File監視エラー;/GFOOT/10_日次/01_HULFT/集信_00_AEONデータ処理結果確認/;pjob;先行終了待ち;****/**/** **:**;***;****/**/** **:**:**;****/**/** **:**:**;****/**/** **:**:**;***;***;20260626004;C:\ProgramData\Hitachi\jp1\jp1_default\JP1AJS2\jobinf\15575\b70ad\0.15577.err;なし;@2W9741;****/**/**;****/**/** **:**:**;"エラーメール送信";****/**/** **:**;****/**/** **:**
ファイル監視;/GFOOT/10_日次/01_HULFT/集信_00_AEONデータ処理結果確認/;flwjb;実行中;****/**/** **:**;***;2026/06/26 12:00:00;****/**/** **:**:**;****/**/** **:**:**;TYCLDS31;0;20260626004;C:\ProgramData\Hitachi\jp1\jp1_default\JP1AJS2\jobinf\15575\b70ad\0.15576.err;なし;@2W9741;****/**/**;2026/06/26 12:00:00;"ANKYAKUTIME.datのファイル監視";****/**/** **:**;****/**/** **:**
集信_01_AEON_HHT_v3;/GFOOT/10_日次/01_HULFT/;net;実行中;2025/05/21 17:58;***;2026/06/26 12:00:00;****/**/** **:**:**;****/**/** **:**:**;***;***;20260626020;***;なし;@2W9775;2026/06/26;2026/06/26 12:00:00;"10分毎_08:50~22:50 AN_HHT001.dat";****/**/** **:**;****/**/** **:**
AEONデータ取込;/GFOOT/10_日次/01_HULFT/集信_01_AEON_HHT_v3/;pjob;先行終了待ち;****/**/** **:**;***;****/**/** **:**:**;****/**/** **:**:**;****/**/** **:**:**;***;***;20260626020;C:\ProgramData\Hitachi\jp1\jp1_default\JP1AJS2\jobinf\122b8\b70cf\0.122b9.err;なし;@2W9775;****/**/**;****/**/** **:**:**;"AEONデータ取込 TW_AEON_BAIHEN(GFIF)";****/**/** **:**;****/**/** **:**
Dr.Sum更新;/GFOOT/10_日次/01_HULFT/集信_01_AEON_HHT_v3/;net;未計画;2025/05/21 17:58;***;****/**/** **:**:**;****/**/** **:**:**;****/**/** **:**:**;***;***;20260626020;***;なし;@2W9775;2026/06/26;****/**/** **:**:**;"";****/**/** **:**;****/**/** **:**
送711_AEON_HHT処理完了イベント;/GFOOT/10_日次/01_HULFT/集信_01_AEON_HHT_v3/Dr.Sum更新/;evsjb;未計画;****/**/** **:**;***;****/**/** **:**:**;****/**/** **:**:**;****/**/** **:**:**;***;***;20260626020;C:\ProgramData\Hitachi\jp1\jp1_default\JP1AJS2\jobinf\122b8\b70cf\0.14f44.err;なし;@2W9775;****/**/**;****/**/** **:**:**;"7FFFA711 AEON_HHT処理完了イベント";****/**/** **:**;****/**/** **:**
